City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,Pendleton,45.6721,-118.7886,52.43,60,96,14.0,US,2022-04-19 23:58:55
265,Stromness,58.965,-3.296,43.88,82,35,8.99,GB,2022-04-20 00:02:36
266,Synya,65.3718,58.0387,29.26,95,100,9.93,RU,2022-04-20 00:02:37
267,Caravelas,-17.7125,-39.2481,74.73,73,8,6.4,BR,2022-04-20 00:02:38
268,Talnakh,69.4865,88.3972,-2.79,97,97,3.53,RU,2022-04-20 00:02:39
269,Poum,-20.2333,164.0167,78.37,79,14,3.87,NC,2022-04-20 00:02:27
270,Oros,-6.2444,-38.9136,74.37,90,71,1.81,BR,2022-04-20 00:02:39
271,Padang,-0.9492,100.3543,77.31,88,100,4.9,ID,2022-04-20 00:03:41
272,Lodeynoye Pole,60.726,33.5531,34.48,98,83,2.1,RU,2022-04-20 00:03:41
273,Port Moresby,-9.4431,147.1797,83.75,69,92,1.3,PG,2022-04-20 00:01:39
274,Autun,46.95,4.3,44.44,90,69,3.31,FR,2022-04-20 00:03:43
275,Gornopravdinsk,60.05,69.9,33.42,95,96,7.4,RU,2022-04-20 00:03:44
276,Agadir,30.4202,-9.5982,61.25,55,38,2.48,MA,2022-04-20 00:03:45
277,Nome,64.5011,-165.4064,39.11,52,0,2.82,US,2022-04-20 00:02:19
278,Bengbu,32.9408,117.3608,63.39,57,92,5.59,CN,2022-04-20 00:03:46
279,Ribeira Brava,32.65,-17.0667,62.71,60,7,12.15,PT,2022-04-20 00:03:46
280,Lompoc,34.6391,-120.4579,75.56,76,0,21.99,US,2022-04-20 00:02:57
281,Abalak,58.1286,68.5944,34.56,91,98,6.38,RU,2022-04-20 00:03:47
282,Najran,17.4924,44.1277,71.01,23,4,2.55,SA,2022-04-20 00:03:47
283,Camacha,33.0833,-16.3333,58.42,63,75,11.5,PT,2022-04-20 00:03:48
284,Narsaq,60.9167,-46.05,34.02,42,2,18.12,GL,2022-04-20 00:03:48
285,Ostrovnoy,68.0531,39.5131,30.45,77,100,8.23,RU,2022-04-20 00:03:49
286,Yeppoon,-23.1333,150.7333,78.58,72,43,8.1,AU,2022-04-20 00:03:49
287,Porangatu,-13.4408,-49.1486,75.13,77,91,1.81,BR,2022-04-20 00:03:50
288,Longyearbyen,78.2186,15.6401,24.64,80,75,6.91,SJ,2022-04-20 00:02:15
289,Sorland,67.667,12.6934,43.7,88,21,14.09,NO,2022-04-20 00:03:52
290,Senno,59.5336,33.9167,26.26,94,57,4.97,RU,2022-04-20 00:03:53
291,Junagarh,19.8667,82.9333,83.03,42,10,5.01,IN,2022-04-20 00:03:54
292,Kalat,29.0225,66.5916,55.53,60,87,1.81,PK,2022-04-20 00:03:54
293,Westport,41.1415,-73.3579,47.82,53,56,5.99,US,2022-04-20 00:00:07
294,Vila Franca Do Campo,37.7167,-25.4333,61.2,70,70,9.13,PT,2022-04-20 00:03:55
295,Zalantun,48.0,122.7167,65.5,20,79,7.81,CN,2022-04-20 00:03:56
